model,auc_roc,avg_precision,precision,recall,f1,n_features,task,direction
SMA Vol LR,0.6766896120150189,0.21125081725766703,0.3902439024390244,0.23529411764705882,0.29357798165137616,9,Drawdown >7% 10d,DOWN
CGECD-v2 GBT (Ours),0.44392091421466373,0.11659675188132998,0.02158273381294964,0.02127659574468085,0.02142857142857143,31,Drawdown >7% 20d,DOWN
CGECD-v2 RF (Ours),0.6401793091036999,0.18663444845941177,0.23905723905723905,0.5035460992907801,0.3242009132420091,31,Drawdown >7% 20d,DOWN
CGECD-v2 Ens40 (Ours),0.5102047494008033,0.13006145928430904,0.16415868673050615,0.851063829787234,0.2752293577981651,31,Drawdown >7% 20d,DOWN
CGECD-v2 Ens30 (Ours),0.5050512487013996,0.1286111932034148,0.15303030303030302,0.7163120567375887,0.2521847690387016,31,Drawdown >7% 20d,DOWN
CGECD-v2 Ens50 (Ours),0.5133132101401261,0.1316926893788955,0.16302952503209242,0.900709219858156,0.27608695652173915,31,Drawdown >7% 20d,DOWN
No-spectral GBT,0.4734567462292698,0.12993780968331636,0.09166666666666666,0.14965986394557823,0.11369509043927647,20,Drawdown >7% 20d,DOWN
No-spectral RF,0.5605252553983265,0.15645460829183488,0.22121212121212122,0.4965986394557823,0.3060796645702306,20,Drawdown >7% 20d,DOWN
CGECD-v1 (206 feat),0.5902611864749949,0.16037026435207052,0.2976190476190476,0.22727272727272727,0.2577319587628866,206,Drawdown >7% 20d,DOWN
Traditional RF,0.5527206560086451,0.14911017910987007,0.17379310344827587,0.863013698630137,0.2893226176808266,27,Drawdown >7% 20d,DOWN
Turbulence RF,0.616054874280324,0.17068677267923424,0.18819776714513556,0.8309859154929577,0.30689206762028604,5,Drawdown >7% 20d,DOWN
HAR-RV LR,0.672949029424035,0.2832755585437652,0.3356164383561644,0.3475177304964539,0.34146341463414637,4,Drawdown >7% 20d,DOWN
SMA Vol LR,0.5288898370033264,0.2074652295881317,0.15904139433551198,0.9931972789115646,0.27417840375586855,9,Drawdown >7% 20d,DOWN
CGECD-v2 GBT (Ours),0.4622595667139098,0.11254903402436989,0.08035714285714286,0.16363636363636364,0.10778443113772457,31,Drawdown >5% 10d,DOWN
CGECD-v2 RF (Ours),0.7349868394411825,0.19008831090977904,0.24092409240924093,0.6636363636363637,0.35351089588377727,31,Drawdown >5% 10d,DOWN
CGECD-v2 Ens40 (Ours),0.6354221502328408,0.18333171688914257,0.1971326164874552,0.5,0.2827763496143959,31,Drawdown >5% 10d,DOWN
CGECD-v2 Ens30 (Ours),0.6241850577039887,0.17603286187902195,0.18241042345276873,0.509090909090909,0.2685851318944844,31,Drawdown >5% 10d,DOWN
CGECD-v2 Ens50 (Ours),0.6444928123101842,0.19097040090282053,0.21428571428571427,0.43636363636363634,0.2874251497005988,31,Drawdown >5% 10d,DOWN
No-spectral GBT,0.5177176339285715,0.12939381109383724,0.10526315789473684,0.26785714285714285,0.15113350125944583,20,Drawdown >5% 10d,DOWN
No-spectral RF,0.6647600446428572,0.1682600192491645,0.16216216216216217,0.8571428571428571,0.27272727272727276,20,Drawdown >5% 10d,DOWN
CGECD-v1 (206 feat),0.5959943804824561,0.1188647042831508,0.1532567049808429,0.4166666666666667,0.22408963585434172,206,Drawdown >5% 10d,DOWN
Traditional RF,0.6712565408217582,0.16012105863544715,0.18584070796460178,0.5675675675675675,0.27999999999999997,27,Drawdown >5% 10d,DOWN
Turbulence RF,0.6259102852852853,0.15976833190555428,0.18377088305489261,0.6416666666666667,0.2857142857142857,5,Drawdown >5% 10d,DOWN
HAR-RV LR,0.7411099025226959,0.3549120915114795,0.4588235294117647,0.36792452830188677,0.40837696335078527,4,Drawdown >5% 10d,DOWN
SMA Vol LR,0.6739078443877551,0.28608448636710015,0.27040816326530615,0.4732142857142857,0.3441558441558442,9,Drawdown >5% 10d,DOWN
CGECD-v2 GBT (Ours),0.4753068535005004,0.0796428713617747,0.06837606837606838,0.0975609756097561,0.08040201005025126,31,Down >5% 10d,DOWN
