model,auc_roc,avg_precision,precision,recall,f1,n_features,task,direction
UP-v1 RF 206-feat (Ours),0.7468852124183009,0.3276299321666064,0.3185328185328185,0.859375,0.46478873239436624,206,Up >3% in 10d,UP
UP-v1 TunedRF 206-feat (Ours),0.7484298406862745,0.3207468408262117,0.32803180914512925,0.859375,0.47482014388489213,206,Up >3% in 10d,UP
UP-v1 ExtraTrees 206-feat (Ours),0.7298943014705883,0.33315749076297174,0.2926829268292683,0.875,0.4386422976501305,206,Up >3% in 10d,UP
UP-v1 Stacked 206-feat (Ours),0.7058632046568628,0.30379779842813404,0.2903225806451613,0.84375,0.432,206,Up >3% in 10d,UP
UP-pool TunedRF full (Ours),0.7493437138077468,0.3221950557424599,0.3243801652892562,0.8263157894736842,0.4658753709198812,223,Up >3% in 10d,UP
Traditional RF,0.697684399986155,0.2910265117597715,0.3027027027027027,0.6473988439306358,0.4125230202578269,27,Up >3% in 10d,UP
Turbulence RF,0.6433939349103306,0.3121445399711019,0.29107981220657275,0.6169154228855721,0.39553429027113235,5,Up >3% in 10d,UP
HAR-RV LR,0.6473789881993006,0.30573385285971155,0.2678983833718245,0.6590909090909091,0.38095238095238093,4,Up >3% in 10d,UP
SMA Vol LR,0.6286024257260487,0.28309880241588253,0.2613981762917933,0.5,0.343313373253493,9,Up >3% in 10d,UP
DN-wide TunedRF (Ours),0.7730753670095943,0.3658142625744986,0.34375,0.7378048780487805,0.46899224806201545,67,Extreme vol 10d,DOWN
DN-wide ExtraTrees (Ours),0.8312767310137557,0.5453095084531252,0.4845814977973568,0.6707317073170732,0.5626598465473147,67,Extreme vol 10d,DOWN
DN-wide Stacked (Ours),0.6451329674968341,0.2972928244727902,0.39215686274509803,0.34782608695652173,0.36866359447004615,67,Extreme vol 10d,DOWN
DN-wide LR/RF Ens30 (Ours),0.8026817708935385,0.4324622389750698,0.49743589743589745,0.5914634146341463,0.5403899721448469,67,Extreme vol 10d,DOWN
DN-wide LR/RF Ens40 (Ours),0.8064602358108889,0.44397630410175604,0.5050505050505051,0.6097560975609756,0.5524861878453039,67,Extreme vol 10d,DOWN
DN-wide LR/RF Ens50 (Ours),0.8084758987400301,0.4536315192139813,0.5307262569832403,0.5792682926829268,0.553935860058309,67,Extreme vol 10d,DOWN
DN-wide LR/RF Ens60 (Ours),0.8084181019535314,0.46225532765854377,0.47863247863247865,0.6829268292682927,0.5628140703517588,67,Extreme vol 10d,DOWN
DN-v1 RF 206-feat (Ours),0.7835400060131851,0.3688428325845191,0.40476190476190477,0.6335403726708074,0.49394673123486676,206,Extreme vol 10d,DOWN
