Target,CGECD_Combined_Ours,Spectral_Only_RF,Traditional_RF,Turbulence_RF,HAR-RV_LR,SMA_Vol_LR
Down >5% in 10d,0.6057544371659238,0.6035514379463425,0.6229632041680235,0.5888682106424041,0.7249595905172413,0.5848127645718008
Drawdown >7% in 10d,0.7371840122102452,0.6821904920028778,0.6196964169587768,0.6104781997187061,0.7733770051230369,0.6766896120150189
Drawdown >5% in 10d,0.5959943804824561,0.6016189427312776,0.6712565408217582,0.6259102852852853,0.7411099025226959,0.6739078443877551
Up >3% in 3d,0.8257012313807445,0.6274440778886385,0.8245191601820584,0.7578584392014519,0.8220836696634843,0.7180498399634202
Up >5% in 10d,0.8498967887467813,0.5891231732776618,0.8731909579918032,0.7170321824221745,0.8716330474695011,0.7922610722610723
Up >3% in 10d,0.7468852124183009,0.5674211090686275,0.697684399986155,0.6433939349103306,0.6473789881993006,0.6286024257260487
