Model,Rally_AUC,Crash_AUC,BCD_AUC,Mean_AUC,Role
CGECD Combined (Ours),0.7468852124183009,0.7371840122102452,0.7420187582204538,0.742034612314273,ours
HAR-RV LR,0.6473789881993006,0.7733770051230369,0.7075789871619683,0.7103779966611687,bench
Traditional RF,0.697684399986155,0.6196964169587768,0.6575351875294996,0.6586904084724658,bench
SMA Vol LR,0.6286024257260487,0.6766896120150189,0.6522029834156385,0.6526460188705339,bench
Turbulence RF,0.6433939349103306,0.6104781997187061,0.6267200101273239,0.6269360673145183,bench
Spectral Only RF,0.5674211090686275,0.6821904920028778,0.6221649986686374,0.6248058005357526,ablation
