asset1,asset2,corr_leader,corr_follower,corr_lag,correlation,abs_correlation,leader_category,follower_category
PEP.US,EWC.US,EWC.US,PEP.US,2,0.16347714764485713,0.16347714764485713,consumer,intl_developed
BA.US,XLU.US,BA.US,XLU.US,2,0.16277083142364313,0.16277083142364313,industrials,sector_etfs
MCD.US,EWQ.US,EWQ.US,MCD.US,2,0.16257803522769318,0.16257803522769318,consumer,intl_developed
XLU.US,EWQ.US,EWQ.US,XLU.US,2,0.16248028430793693,0.16248028430793693,sector_etfs,intl_developed
XLF.US,XLU.US,XLF.US,XLU.US,2,0.1622736435238661,0.1622736435238661,sector_etfs,sector_etfs
PG.US,EWA.US,PG.US,EWA.US,1,-0.1622688590406417,0.1622688590406417,consumer,intl_developed
JPM.US,PEP.US,JPM.US,PEP.US,2,0.16212825478384615,0.16212825478384615,finance,consumer
EWY.US,INDA.US,INDA.US,EWY.US,1,-0.16198085618684963,0.16198085618684963,intl_emerging,intl_emerging
PEP.US,DIA.US,DIA.US,PEP.US,1,-0.16191348079009052,0.16191348079009052,consumer,broad_market
MRK.US,EWA.US,MRK.US,EWA.US,1,-0.16162001666451833,0.16162001666451833,healthcare,intl_developed
MRK.US,DIA.US,MRK.US,DIA.US,1,-0.1613913962112007,0.1613913962112007,healthcare,broad_market
PEP.US,XLF.US,XLF.US,PEP.US,1,-0.1611737741834392,0.1611737741834392,consumer,sector_etfs
PEP.US,EMB.US,EMB.US,PEP.US,2,0.16096464384103562,0.16096464384103562,consumer,fixed_income
C.US,XLU.US,C.US,XLU.US,2,0.160691202025396,0.160691202025396,finance,sector_etfs
XLK.US,DIA.US,DIA.US,XLK.US,1,-0.1604873077298045,0.1604873077298045,sector_etfs,broad_market
C.US,PEP.US,C.US,PEP.US,2,0.16048499760481336,0.16048499760481336,finance,consumer
XLK.US,XLV.US,XLV.US,XLK.US,1,-0.16014418099112068,0.16014418099112068,sector_etfs,sector_etfs
PEP.US,MCD.US,MCD.US,PEP.US,1,-0.1597730760642491,0.1597730760642491,consumer,consumer
JPM.US,EWU.US,JPM.US,EWU.US,2,0.15975605018240494,0.15975605018240494,finance,intl_developed
MS.US,XLP.US,MS.US,XLP.US,2,0.1595005063198161,0.1595005063198161,finance,sector_etfs
C.US,EWU.US,C.US,EWU.US,2,0.15938199966913377,0.15938199966913377,finance,intl_developed
MSFT.US,XLI.US,XLI.US,MSFT.US,1,-0.15923680777264013,0.15923680777264013,tech_mega,sector_etfs
XLK.US,SPY.US,SPY.US,XLK.US,1,-0.15905259152577336,0.15905259152577336,sector_etfs,broad_market
GS.US,PEP.US,GS.US,PEP.US,2,0.15816005019064105,0.15816005019064105,finance,consumer
PEP.US,EWL.US,EWL.US,PEP.US,1,-0.1577561273219273,0.1577561273219273,consumer,intl_developed
MSFT.US,COP.US,COP.US,MSFT.US,1,-0.1577550488184733,0.1577550488184733,tech_mega,energy
KO.US,EWA.US,KO.US,EWA.US,1,-0.1577491553813605,0.1577491553813605,consumer,intl_developed
EWT.US,INDA.US,EWT.US,INDA.US,1,-0.15733001365129554,0.15733001365129554,intl_emerging,intl_emerging
PEP.US,VWO.US,PEP.US,VWO.US,1,-0.15726798837070763,0.15726798837070763,consumer,intl_emerging
JPM.US,XLRE.US,JPM.US,XLRE.US,2,0.15712557705620303,0.15712557705620303,finance,sector_etfs
EWL.US,INDA.US,EWL.US,INDA.US,1,-0.15700909609802224,0.15700909609802224,intl_developed,intl_emerging
CVX.US,PG.US,PG.US,CVX.US,1,-0.15700340973546612,0.15700340973546612,energy,consumer
XLF.US,XLK.US,XLF.US,XLK.US,1,-0.15698632167456603,0.15698632167456603,sector_etfs,sector_etfs
MSFT.US,JPM.US,JPM.US,MSFT.US,1,-0.1568244005673048,0.1568244005673048,tech_mega,finance
EWQ.US,EWA.US,EWQ.US,EWA.US,2,0.1567592990271221,0.1567592990271221,intl_developed,intl_developed
MCD.US,EWG.US,EWG.US,MCD.US,2,0.15675674258447161,0.15675674258447161,consumer,intl_developed
BA.US,XLRE.US,BA.US,XLRE.US,2,0.15667951544296707,0.15667951544296707,industrials,sector_etfs
PG.US,EWZ.US,PG.US,EWZ.US,1,-0.15634575340729068,0.15634575340729068,consumer,intl_emerging
XLK.US,VTI.US,VTI.US,XLK.US,1,-0.1562608886642466,0.1562608886642466,sector_etfs,broad_market
EWU.US,EWA.US,EWU.US,EWA.US,1,-0.1561994124784724,0.1561994124784724,intl_developed,intl_developed
MCD.US,EWA.US,MCD.US,EWA.US,1,-0.1561512512625752,0.1561512512625752,consumer,intl_developed
CVX.US,XLP.US,XLP.US,CVX.US,1,-0.15612631710980898,0.15612631710980898,energy,sector_etfs
MSFT.US,XLE.US,XLE.US,MSFT.US,1,-0.15588443263940183,0.15588443263940183,tech_mega,sector_etfs
XLV.US,DIA.US,XLV.US,DIA.US,1,-0.15575391746526182,0.15575391746526182,sector_etfs,broad_market
MRK.US,CVX.US,MRK.US,CVX.US,1,-0.15563645712502738,0.15563645712502738,healthcare,energy
MSFT.US,XLB.US,XLB.US,MSFT.US,1,-0.15535818195809598,0.15535818195809598,tech_mega,sector_etfs
XLU.US,EWG.US,EWG.US,XLU.US,2,0.15522843545497214,0.15522843545497214,sector_etfs,intl_developed
MSFT.US,C.US,C.US,MSFT.US,1,-0.15515829576708873,0.15515829576708873,tech_mega,finance
EWG.US,HYG.US,EWG.US,HYG.US,2,0.15494161183797608,0.15494161183797608,intl_developed,fixed_income
XLP.US,DIA.US,XLP.US,DIA.US,1,-0.15485138034010226,0.15485138034010226,sector_etfs,broad_market
EWG.US,EWS.US,EWG.US,EWS.US,2,0.15476730100221522,0.15476730100221522,intl_developed,intl_emerging
CVX.US,PEP.US,CVX.US,PEP.US,2,0.1547326162550771,0.1547326162550771,energy,consumer
INDA.US,QQQ.US,QQQ.US,INDA.US,1,-0.15470975378204327,0.15470975378204327,intl_emerging,broad_market
XLP.US,VWO.US,XLP.US,VWO.US,1,-0.1543254646033157,0.1543254646033157,sector_etfs,intl_emerging
JPM.US,INDA.US,JPM.US,INDA.US,1,-0.15406093074643581,0.15406093074643581,finance,intl_emerging
EWQ.US,INDA.US,EWQ.US,INDA.US,1,-0.1540004161403134,0.1540004161403134,intl_developed,intl_emerging
EWA.US,QQQ.US,EWA.US,QQQ.US,1,-0.15380715800064426,0.15380715800064426,intl_developed,broad_market
XLRE.US,LQD.US,LQD.US,XLRE.US,2,0.1536216921153525,0.1536216921153525,sector_etfs,fixed_income
JNJ.US,EWA.US,JNJ.US,EWA.US,1,-0.15346273590022597,0.15346273590022597,healthcare,intl_developed
EWC.US,QQQ.US,EWC.US,QQQ.US,1,-0.15303924179820763,0.15303924179820763,intl_developed,broad_market
EWC.US,INDA.US,EWC.US,INDA.US,1,-0.15302704076067414,0.15302704076067414,intl_developed,intl_emerging
MSFT.US,XLK.US,XLK.US,MSFT.US,1,-0.15296127894377098,0.15296127894377098,tech_mega,sector_etfs
MSFT.US,EWL.US,EWL.US,MSFT.US,1,-0.15282623548774668,0.15282623548774668,tech_mega,intl_developed
EWA.US,EWS.US,EWS.US,EWA.US,1,-0.15277103168350395,0.15277103168350395,intl_developed,intl_emerging
XLRE.US,EWC.US,EWC.US,XLRE.US,2,0.15264738496762167,0.15264738496762167,sector_etfs,intl_developed
XLF.US,EWA.US,XLF.US,EWA.US,1,-0.1525114609630749,0.1525114609630749,sector_etfs,intl_developed
XLF.US,XLRE.US,XLF.US,XLRE.US,2,0.15248301042603,0.15248301042603,sector_etfs,sector_etfs
PEP.US,VTI.US,VTI.US,PEP.US,1,-0.15245057315317465,0.15245057315317465,consumer,broad_market
MSFT.US,PEP.US,PEP.US,MSFT.US,1,-0.15235560097093748,0.15235560097093748,tech_mega,consumer
XLRE.US,EWQ.US,EWQ.US,XLRE.US,2,0.15231043159646418,0.15231043159646418,sector_etfs,intl_developed
INDA.US,EMB.US,EMB.US,INDA.US,3,0.15203456825434572,0.15203456825434572,intl_emerging,fixed_income
BAC.US,INDA.US,BAC.US,INDA.US,1,-0.15200009827544642,0.15200009827544642,finance,intl_emerging
MRK.US,XLK.US,MRK.US,XLK.US,1,-0.15197378542669138,0.15197378542669138,healthcare,sector_etfs
PEP.US,XLV.US,XLV.US,PEP.US,1,-0.15191098414368784,0.15191098414368784,consumer,sector_etfs
EWG.US,EWA.US,EWG.US,EWA.US,2,0.1515874766577566,0.1515874766577566,intl_developed,intl_developed
XLRE.US,EWG.US,EWG.US,XLRE.US,2,0.15135687480118318,0.15135687480118318,sector_etfs,intl_developed
C.US,XLP.US,C.US,XLP.US,2,0.15100955212996056,0.15100955212996056,finance,sector_etfs
MSFT.US,MS.US,MS.US,MSFT.US,1,-0.15076421324133654,0.15076421324133654,tech_mega,finance
MS.US,XLRE.US,MS.US,XLRE.US,2,0.15071215061088686,0.15071215061088686,finance,sector_etfs
MS.US,EWS.US,MS.US,EWS.US,2,0.15064894758150116,0.15064894758150116,finance,intl_emerging
EWQ.US,EWS.US,EWQ.US,EWS.US,2,0.15062922607876655,0.15062922607876655,intl_developed,intl_emerging
MRK.US,SPY.US,MRK.US,SPY.US,1,-0.1504959885212274,0.1504959885212274,healthcare,broad_market
MS.US,DIA.US,MS.US,DIA.US,2,0.15026711599937825,0.15026711599937825,finance,broad_market
EWG.US,DIA.US,EWG.US,DIA.US,2,0.15016750927167433,0.15016750927167433,intl_developed,broad_market
QQQ.US,DIA.US,DIA.US,QQQ.US,1,-0.15014604877682253,0.15014604877682253,broad_market,broad_market
PEP.US,SPY.US,SPY.US,PEP.US,1,-0.15012315250545277,0.15012315250545277,consumer,broad_market
MSFT.US,MCD.US,MCD.US,MSFT.US,1,-0.15009742850556854,0.15009742850556854,tech_mega,consumer
PEP.US,XLP.US,XLP.US,PEP.US,1,-0.14994550745032698,0.14994550745032698,consumer,sector_etfs
MS.US,XLV.US,MS.US,XLV.US,2,0.14993317324711986,0.14993317324711986,finance,sector_etfs
EWU.US,INDA.US,INDA.US,EWU.US,1,-0.14989432597165323,0.14989432597165323,intl_developed,intl_emerging
XLRE.US,INDA.US,INDA.US,XLRE.US,2,0.14978793939091986,0.14978793939091986,sector_etfs,intl_emerging
XLP.US,EWC.US,EWC.US,XLP.US,2,0.1496637906439735,0.1496637906439735,sector_etfs,intl_developed
EWA.US,SPY.US,SPY.US,EWA.US,1,-0.14946315954682382,0.14946315954682382,intl_developed,broad_market
MS.US,MRK.US,MRK.US,MS.US,1,-0.1494472938024567,0.1494472938024567,finance,healthcare
MSFT.US,QQQ.US,QQQ.US,MSFT.US,1,-0.14896751219367882,0.14896751219367882,tech_mega,broad_market
EWQ.US,HYG.US,EWQ.US,HYG.US,2,0.1488667350945195,0.1488667350945195,intl_developed,fixed_income
GS.US,XLP.US,GS.US,XLP.US,2,0.14883426493650276,0.14883426493650276,finance,sector_etfs
XLV.US,EWZ.US,XLV.US,EWZ.US,1,-0.1486205307646961,0.1486205307646961,sector_etfs,intl_emerging
CVX.US,EWA.US,CVX.US,EWA.US,1,-0.14848873320414477,0.14848873320414477,energy,intl_developed
MSFT.US,MRK.US,MRK.US,MSFT.US,1,-0.14844046456428533,0.14844046456428533,tech_mega,healthcare
VWO.US,DIA.US,DIA.US,VWO.US,1,-0.1481176647477671,0.1481176647477671,intl_emerging,broad_market
AAPL.US,MSFT.US,AAPL.US,MSFT.US,1,-0.14785400253062006,0.14785400253062006,tech_mega,tech_mega
XLF.US,XLP.US,XLF.US,XLP.US,2,0.14753566267749366,0.14753566267749366,sector_etfs,sector_etfs
MRK.US,VTI.US,MRK.US,VTI.US,1,-0.14741666620194296,0.14741666620194296,healthcare,broad_market
EWA.US,VTI.US,EWA.US,VTI.US,1,-0.1473791050361982,0.1473791050361982,intl_developed,broad_market
FXI.US,EWZ.US,EWZ.US,FXI.US,1,-0.14731299057736133,0.14731299057736133,intl_emerging,intl_emerging
MRK.US,INDA.US,MRK.US,INDA.US,1,-0.1472845629632077,0.1472845629632077,healthcare,intl_emerging
HON.US,XLU.US,HON.US,XLU.US,2,0.14722714920294788,0.14722714920294788,industrials,sector_etfs
HON.US,EMB.US,EMB.US,HON.US,3,0.14693472650435724,0.14693472650435724,industrials,fixed_income
