feature,importance
volatility_20d,0.03793492241368945
clustering_coef_t50_60d,0.03764196174463529
max_abs_corr_60d,0.031750408033175144
degree_max_t70_60d,0.025825930535667754
volatility_10d,0.025143620670384996
volatility_60d,0.023455046278802304
edge_density_t70_60d,0.02293825401616331
drawdown_60d,0.02287436784771618
degree_std_t50_60d,0.022382968458621394
return_60d,0.021250005386106555
eigenvalue_kurt_60d,0.019886269408040023
absorption_ratio_5_60d,0.01613217091353922
price_to_sma_50,0.01609583217810723
degree_mean_t70_60d,0.016026307420040575
drawdown_20d,0.015732368369482396
n_edges_t70_60d,0.01523046903296577
spectral_gap_60d,0.014794205416484537
eigenvalue_skew_60d,0.01465433869908665
frac_corr_above_70_60d,0.014637366153243053
isolated_nodes_t70_60d,0.014269845225654058
clustering_coef_t30_60d,0.013723313990402563
price_to_sma_20,0.013368974025910281
skewness_20d,0.013325709682557606
volatility_5d,0.013244418056259867
degree_std_t70_60d,0.013237111666203824
median_abs_corr_60d,0.012652921246916339
return_10d,0.012045371713573817
tail_eigenvalue_mean_ewm,0.011881259949335529
absorption_ratio_3_60d,0.011774945388193778
corr_std_60d,0.011746671559622345
absorption_ratio_1_60d,0.011562780962825257
lambda_2_60d,0.011078342207175636
lambda_2_120d,0.01046029963304122
absorption_ratio_5_120d,0.010211111144698066
tail_eigenvalue_mean_60d,0.009953749125211905
absorption_ratio_3_120d,0.009950917104072253
absorption_ratio_5_ewm,0.009557952261297369
clustering_coef_t70_60d,0.009474373574227785
tail_eigenvalue_mean_120d,0.009203962091543984
normalized_entropy_120d,0.009059356843028776
normalized_entropy_60d,0.008517877233464675
lambda_3_120d,0.008389194039616176
mp_excess_60d,0.008324532188114993
skewness_60d,0.008047670546014832
eigenvalue_entropy_120d,0.008019643865766347
kurtosis_20d,0.007968802006066214
centralization_t50_60d,0.007918982839364637
centralization_t30_60d,0.00780884519276749
effective_rank_120d,0.007304737264178088
effective_rank_ratio_60d,0.007253956392904849
log_condition_number_120d,0.007016070651853394
return_20d,0.007000229913656006
lambda_1_60d,0.006974816539469582
lambda_1_ratio_ewm,0.006968803693994613
condition_number_ewm,0.006939639160655221
month,0.006878977647803306
lambda_1_ratio_60d,0.006624116321814078
condition_number_120d,0.006430609160376088
mp_excess_120d,0.00625755285517955
effective_rank_ratio_120d,0.006199166274710383
rsi_14,0.005965997258627796
eigenvalue_entropy_60d,0.005933132895560606
lambda_3_ewm,0.005763883919347305
degree_mean_t50_60d,0.00570847709528248
mean_abs_corr_60d,0.0053493419271208355
eigenvalue_std_60d,0.00532198229131327
spectral_gap_120d,0.0049874692656762505
centralization_t70_60d,0.00498578404158102
log_condition_number_ewm,0.0049322661695365535
degree_std_t30_60d,0.004717698165782411
n_components_t70_60d,0.004684193122864031
effective_rank_60d,0.004599655479729655
eigenvalue_std_120d,0.004594777563026887
price_to_sma_10,0.004569560956725022
condition_number_60d,0.004499792439006386
frac_corr_above_50_60d,0.004303354018926739
lambda_3_60d,0.004295822409886579
loading_dispersion_60d,0.004144073790812003
spectral_gap_ewm,0.004110615846499032
v1_entropy_60d,0.003940938201002462
eigenvalue_std_ewm,0.0038132124497510305
absorption_ratio_1_120d,0.0037643330382329788
kurtosis_60d,0.0037119863160015084
isolated_nodes_t50_60d,0.0036469880029758508
lambda_1_ratio_120d,0.0035924388470654394
v1_min_60d,0.0034788596005350986
corr_skew_60d,0.00347718640001239
absorption_ratio_1_ewm,0.0034052359243599297
v1_max_60d,0.0033573237957683654
lambda_2_ewm,0.0031774387110657543
vol_ratio_5_20,0.0031467605796871674
return_5d,0.0031342387445886955
mp_excess_ewm,0.0030855108645524583
log_condition_number_60d,0.002980900100485885
degree_mean_t30_60d,0.0028360438284363142
return_1d,0.002732457069645142
eigenvalue_kurt_ewm,0.002698210927714974
lambda_1_120d,0.002669998120292513
effective_rank_ratio_ewm,0.002643817421151238
effective_rank_ewm,0.002509935735951363
eigenvalue_skew_120d,0.002501916130164526
lambda_1_ewm,0.00250046191125677
absorption_ratio_3_ewm,0.002492189067242003
edge_density_t50_60d,0.002465696678624317
fragmentation_t70_60d,0.002465019852849825
eigenvalue_kurt_120d,0.0024636616184204293
n_edges_t50_60d,0.002347695999164059
edge_density_t30_60d,0.002325814661634906
eigenvalue_entropy_ewm,0.002294075149982151
v1_herfindahl_60d,0.002224043445829501
normalized_entropy_ewm,0.00219571115626287
eigenvalue_skew_ewm,0.0021866809560388903
n_components_t50_60d,0.0015865865544703948
v1_std_60d,0.0013099469651465159
fragmentation_t50_60d,0.0012878221493858367
degree_max_t50_60d,0.0012850250652123628
n_edges_t30_60d,0.0012671641838343873
degree_max_t30_60d,0.00040364316754565706
day_of_week,0.00011072773487858702
isolated_nodes_t30_60d,0.0
n_components_t30_60d,0.0
fragmentation_t30_60d,0.0
