feature,importance
volatility_20d,0.07608330303852619
corr_std_60d,0.07431870984460553
max_abs_corr_60d,0.06971607616628019
clustering_coef_t30_60d,0.033274791338540076
clustering_coef_t50_60d,0.03323256051138127
volatility_60d,0.03309680619746828
absorption_ratio_5_60d,0.02896591345530096
degree_std_t50_60d,0.02744579444908746
mp_excess_60d,0.02632541275367953
spectral_gap_60d,0.026272580795413402
absorption_ratio_1_60d,0.02511317996539569
lambda_1_60d,0.021366030269678427
loading_dispersion_60d,0.021181769127330663
eigenvalue_kurt_60d,0.021101615317127384
lambda_2_120d,0.020483370386589567
lambda_1_ratio_60d,0.020190542134510724
eigenvalue_skew_60d,0.019575541844840096
frac_corr_above_50_60d,0.017608889142990924
eigenvalue_std_60d,0.016770188557320966
v1_herfindahl_60d,0.012542300559027008
mean_abs_corr_60d,0.012307650948998987
median_abs_corr_60d,0.01206053602241049
lambda_2_ewm,0.011228704891751495
absorption_ratio_5_120d,0.010965905542023606
v1_max_60d,0.010576943088133964
lambda_2_60d,0.009732616521037005
absorption_ratio_3_60d,0.009477093843882371
n_edges_t70_60d,0.009327884553654438
eigenvalue_entropy_60d,0.009119570266372433
volatility_5d,0.008779223089113754
v1_std_60d,0.008747373584524733
fragmentation_t70_60d,0.00797333680911774
isolated_nodes_t70_60d,0.007686366057236072
effective_rank_ratio_60d,0.007685274734771759
absorption_ratio_5_ewm,0.007622412958369244
price_to_sma_50,0.007441554795646761
edge_density_t30_60d,0.007368203473825314
drawdown_60d,0.007276415428683759
normalized_entropy_60d,0.007224018118655525
return_60d,0.007168283018756266
degree_mean_t70_60d,0.0071062083293888635
lambda_3_120d,0.006776894867605184
v1_entropy_60d,0.00673564982135994
degree_std_t70_60d,0.006651872932828031
month,0.006592922926125862
degree_mean_t50_60d,0.006552867379782162
n_edges_t50_60d,0.006412173578181305
corr_skew_60d,0.006362033628245498
frac_corr_above_70_60d,0.006322377175035431
edge_density_t50_60d,0.006283079493022167
degree_std_t30_60d,0.006097562783227898
edge_density_t70_60d,0.005394338555449274
isolated_nodes_t50_60d,0.0049911481311444884
tail_eigenvalue_mean_120d,0.004794815741442774
v1_min_60d,0.004715709461387648
log_condition_number_120d,0.004260114738755064
centralization_t70_60d,0.004212156347567676
tail_eigenvalue_mean_ewm,0.004186530011807836
log_condition_number_60d,0.003868759001759749
n_edges_t30_60d,0.00351889592468908
degree_mean_t30_60d,0.003478425904864646
lambda_1_ratio_120d,0.0033693139616563766
lambda_3_60d,0.0033614529434398614
spectral_gap_120d,0.003271374727055157
mp_excess_ewm,0.003093584347352829
log_condition_number_ewm,0.0030915622484331455
eigenvalue_kurt_120d,0.002977779219082167
effective_rank_60d,0.0026655711423684498
absorption_ratio_1_120d,0.0026519453675235053
kurtosis_20d,0.002610177869915135
spectral_gap_ewm,0.0024385633102492715
lambda_1_ewm,0.002334822504380886
skewness_60d,0.0023235408253858476
condition_number_60d,0.00219108581792027
centralization_t50_60d,0.0019897709613864935
absorption_ratio_3_ewm,0.0019317757607909313
eigenvalue_skew_ewm,0.001915427583467341
tail_eigenvalue_mean_60d,0.0019107489957089182
drawdown_20d,0.001882384897243223
eigenvalue_skew_120d,0.0018088106341711922
effective_rank_120d,0.0017647488384700287
effective_rank_ratio_120d,0.00171346609048414
mp_excess_120d,0.0016142145396370474
centralization_t30_60d,0.0016076167011006227
clustering_coef_t70_60d,0.001512245646846036
eigenvalue_kurt_ewm,0.001344400227523257
volatility_10d,0.001231840041670324
eigenvalue_entropy_ewm,0.0012020426269081213
condition_number_ewm,0.0011224256774723
normalized_entropy_ewm,0.0010880205607680063
skewness_20d,0.001066598588393288
absorption_ratio_3_120d,0.001038228991595197
price_to_sma_10,0.0009672826189655346
lambda_1_120d,0.0009620854849748759
lambda_3_ewm,0.0009298085467075354
eigenvalue_std_ewm,0.0009133610307125335
degree_max_t30_60d,0.0008975007240981328
price_to_sma_20,0.0008823784520242301
condition_number_120d,0.0008778182836791398
vol_ratio_5_20,0.0008432478331688589
normalized_entropy_120d,0.0008313004492501267
effective_rank_ratio_ewm,0.0007641375498607595
return_10d,0.0007524961594327878
absorption_ratio_1_ewm,0.0007042623565743843
return_5d,0.0006438164907849543
rsi_14,0.0006091858784103762
n_components_t70_60d,0.0005942496566594632
return_20d,0.000562163504739052
kurtosis_60d,0.0005484039849299905
lambda_1_ratio_ewm,0.000530827022896386
eigenvalue_entropy_120d,0.0004979889947642003
return_1d,0.00046020713948119343
effective_rank_ewm,0.00036907555514912406
eigenvalue_std_120d,0.00034602677574197417
n_components_t50_60d,0.00032995313611757513
day_of_week,0.0002473570178277414
degree_max_t70_60d,3.7173825357780904e-05
fragmentation_t50_60d,2.3069543561381685e-05
degree_max_t50_60d,3.905752275747394e-18
fragmentation_t30_60d,0.0
isolated_nodes_t30_60d,0.0
n_components_t30_60d,0.0
