feature,importance
max_abs_corr_60d,0.07497269505770963
volatility_20d,0.06347080745364297
corr_std_60d,0.048924398004889715
clustering_coef_t50_60d,0.033683089735351966
clustering_coef_t30_60d,0.03319416481522441
eigenvalue_skew_60d,0.03190477894535848
lambda_2_120d,0.0306693054416897
volatility_60d,0.030293761169659223
eigenvalue_kurt_60d,0.027170530111568236
absorption_ratio_5_60d,0.025412620142316912
degree_std_t50_60d,0.025017400967138538
mp_excess_60d,0.02405775274094192
absorption_ratio_1_60d,0.02382880221553529
mean_abs_corr_60d,0.018846469460715557
spectral_gap_60d,0.017702534025626798
lambda_1_ratio_60d,0.014472176731474017
lambda_1_60d,0.01408137107859616
lambda_2_ewm,0.01326653375197871
v1_herfindahl_60d,0.013071491005554303
isolated_nodes_t70_60d,0.012735637549279505
lambda_3_120d,0.01248222550851634
v1_max_60d,0.01242749360108431
degree_std_t70_60d,0.012353227864624302
drawdown_60d,0.011982277793417115
eigenvalue_std_60d,0.009504839000301966
frac_corr_above_50_60d,0.00911994612103495
return_60d,0.009094402482045657
lambda_2_60d,0.00904346981746213
degree_mean_t50_60d,0.00901194748258436
tail_eigenvalue_mean_120d,0.0086947941565024
median_abs_corr_60d,0.008425423117197137
month,0.0081676929801565
drawdown_20d,0.008134049631399432
spectral_gap_120d,0.008066627493481535
volatility_5d,0.007350283468279304
n_edges_t30_60d,0.007284223128859235
v1_min_60d,0.0072390534375959305
mp_excess_120d,0.007036492449414952
edge_density_t50_60d,0.006917730940375864
clustering_coef_t70_60d,0.006916616792004732
loading_dispersion_60d,0.006409321469128404
v1_std_60d,0.006325707467612814
v1_entropy_60d,0.0062543938701707024
price_to_sma_50,0.00597941123287051
degree_mean_t30_60d,0.005972883259031894
absorption_ratio_3_60d,0.005874239024692123
eigenvalue_kurt_ewm,0.005592710549124338
eigenvalue_skew_120d,0.005586555064865538
fragmentation_t70_60d,0.005476972566203876
centralization_t50_60d,0.005357323783935521
corr_skew_60d,0.005354787786990603
tail_eigenvalue_mean_ewm,0.0052955168360379655
absorption_ratio_5_120d,0.005293973378926814
n_edges_t70_60d,0.005231035991288345
degree_mean_t70_60d,0.005140843483981311
eigenvalue_entropy_60d,0.005117798378006933
eigenvalue_std_120d,0.0050981405439266235
eigenvalue_kurt_120d,0.004995304626580131
tail_eigenvalue_mean_60d,0.004942774579775552
condition_number_ewm,0.004775728343281734
n_edges_t50_60d,0.004755433318925766
lambda_1_ratio_120d,0.004750311384156436
kurtosis_20d,0.004668817578615768
condition_number_60d,0.004435357040460658
skewness_60d,0.004329510887312725
edge_density_t30_60d,0.004249938967297617
absorption_ratio_5_ewm,0.004195484964764744
lambda_1_120d,0.004055813615767721
normalized_entropy_60d,0.00399640977054086
log_condition_number_120d,0.003872495574530794
frac_corr_above_70_60d,0.0038272804232401566
lambda_1_ratio_ewm,0.003750614507683326
isolated_nodes_t50_60d,0.0037454223232795784
lambda_3_60d,0.0036666370359357907
n_components_t70_60d,0.003660013974868654
absorption_ratio_1_120d,0.003326925976139889
eigenvalue_skew_ewm,0.0032887827247518285
centralization_t70_60d,0.0029606347130525564
centralization_t30_60d,0.0028890726430214285
return_10d,0.0026933353880176257
eigenvalue_entropy_ewm,0.002578735115344573
normalized_entropy_120d,0.0025607047860684447
edge_density_t70_60d,0.00251478100587618
absorption_ratio_3_120d,0.0024425769189591897
log_condition_number_ewm,0.002385065018801367
normalized_entropy_ewm,0.0023584695923594256
kurtosis_60d,0.0022296590464036324
lambda_3_ewm,0.002163860782509438
degree_std_t30_60d,0.0020582806582907618
effective_rank_ratio_ewm,0.0020486321614037197
price_to_sma_20,0.002035047157346647
skewness_20d,0.001974801294887503
volatility_10d,0.0019354623341103514
effective_rank_ratio_60d,0.001932693842811037
effective_rank_ewm,0.001908366292753334
effective_rank_120d,0.0018456045766208858
mp_excess_ewm,0.0016898778745045666
spectral_gap_ewm,0.001655120300928345
log_condition_number_60d,0.0016060247761172659
lambda_1_ewm,0.001511673977780596
degree_max_t30_60d,0.0015014590385339463
rsi_14,0.0014851464014831231
eigenvalue_std_ewm,0.0014793602159006783
effective_rank_ratio_120d,0.001477822198044702
return_5d,0.0014041159294887664
condition_number_120d,0.0013105415428463032
absorption_ratio_1_ewm,0.0009938852303066582
return_20d,0.0009144054261922353
price_to_sma_10,0.0008553869837187997
eigenvalue_entropy_120d,0.0007901644483814177
absorption_ratio_3_ewm,0.0007206153422011098
vol_ratio_5_20,0.0006687549254614647
effective_rank_60d,0.0004326226290940451
degree_max_t70_60d,0.0003848933003167304
n_components_t50_60d,0.0003527245680716419
return_1d,0.0002972966247458012
fragmentation_t50_60d,0.0002725149619494318
day_of_week,4.523265028493386e-18
degree_max_t50_60d,2.5008960061529035e-18
isolated_nodes_t30_60d,0.0
fragmentation_t30_60d,0.0
n_components_t30_60d,0.0
